Year,Error,Fossil fuel representatives,Government representatives,Journalists/Media,Members of youth-focused organizations,Other,Other NGOs,Other non-fossil fuel companies,Representatives of intergovernmental organizations,Representatives of international NGOs,Representatives of large national NGOs,Representatives of small and/or community-based NGOs,Researchers at universities or research institutes,Scientists,Students,Total Attendees,Fossil fuel representatives_pct,Government representatives_pct,Representatives of international NGOs_pct,Representatives of small and/or community-based NGOs_pct,Representatives of intergovernmental organizations_pct,Researchers at universities or research institutes_pct,Other non-fossil fuel companies_pct,Members of youth-focused organizations_pct,Representatives of large national NGOs_pct,Students_pct,Journalists/Media_pct,Other_pct,Scientists_pct,Error_pct,Other NGOs_pct
2015,,84.0,11040.0,215.0,326.0,5.0,,342.0,2190.0,2797.0,459.0,1483.0,1042.0,47.0,240.0,20270.0,0.004144055254070054,0.5446472619634929,0.13798717316230882,0.07316230883078441,0.1080414405525407,0.051406018746916624,0.016872224962999508,0.016082881105081402,0.022644301924025653,0.011840157868771583,0.010606808090774543,0.000246669955599408,0.0023186975826344353,,
2016,,57.0,9027.0,68.0,235.0,12.0,,228.0,1431.0,1825.0,300.0,1100.0,765.0,15.0,264.0,15327.0,0.0037189273830495204,0.5889606576629477,0.11907092059763816,0.07176877405885039,0.09336465061655902,0.049911920140927775,0.014875709532198082,0.015332419912572585,0.019573302016050106,0.017224505774124096,0.004436615123638025,0.0007829320806420043,0.0009786651008025053,,
2017,,63.0,6093.0,36.0,195.0,3.0,,212.0,1528.0,1780.0,308.0,982.0,811.0,13.0,221.0,12245.0,0.005144957125357288,0.49759085340955495,0.1453654552878726,0.08019599836668027,0.12478562678644345,0.0662311147407105,0.017313189056757862,0.015924867292772562,0.025153123723968968,0.0180481829318089,0.002939975500204165,0.0002449979583503471,0.0010616578195181707,,
2018,,66.0,5131.0,30.0,278.0,11.0,,194.0,1218.0,2167.0,320.0,1244.0,825.0,20.0,300.0,11804.0,0.005591324974584887,0.4346831582514402,0.1835818366655371,0.10538800406641817,0.103185360894612,0.06989156218231109,0.01643510674347679,0.0235513385293121,0.027109454422229753,0.025415113520840395,0.002541511352084039,0.0009318874957641478,0.0016943409013893595,,
2019,,92.0,6009.0,50.0,354.0,10.0,,257.0,1496.0,2823.0,358.0,1712.0,1023.0,22.0,351.0,14557.0,0.006319983513086488,0.4127910970667033,0.19392732018959952,0.11760664972178334,0.10276842756062375,0.070275468846603,0.017654736552861167,0.02431819743078931,0.024592979322662637,0.02411211101188432,0.0034347736484165695,0.0006869547296833139,0.0015113004053032904,,
2021,,105.0,9023.0,128.0,679.0,15.0,,460.0,1597.0,3652.0,591.0,2485.0,1557.0,28.0,417.0,20737.0,0.005063413222741959,0.4351159762742923,0.1761103341852727,0.11983411293822636,0.07701210396875151,0.07508318464580219,0.022182572213917152,0.032743405507064664,0.028499782996576167,0.020108983941746636,0.006172541833437816,0.0007233447461059942,0.0013502435260645223,,
2022,,105.0,11048.0,103.0,674.0,10.0,,445.0,2397.0,4180.0,578.0,2714.0,1434.0,16.0,517.0,24221.0,0.004335081127946823,0.45613310763387144,0.1725775153792164,0.11205152553569217,0.09896370917798604,0.059204822261673756,0.018372486685107964,0.02782709219272532,0.02386358944717394,0.0213451137442715,0.004252508154081169,0.00041286486932826886,0.0006605837909252302,,
2023,,895.0,31499.0,830.0,1714.0,440.0,,5817.0,5395.0,5702.0,1248.0,5955.0,3398.0,61.0,781.0,63735.0,0.014042519808582411,0.49421824743076803,0.08946418765199655,0.0934337491174394,0.08464736800815878,0.053314505373813444,0.09126853377265239,0.02689260218090531,0.019581077900682513,0.012253863654193143,0.013022672001255198,0.0069035851572919115,0.0009570879422609241,,
2024,121.0,563.0,19251.0,517.0,1288.0,192.0,1.0,2884.0,3553.0,3677.0,787.0,4629.0,2293.0,58.0,675.0,40489.0,0.013905011237620094,0.4754624712884981,0.09081478920200549,0.11432734816863839,0.08775222900046926,0.05663266566227864,0.07122922275185853,0.03181110919015041,0.019437378053298426,0.01667119464545926,0.012768900195114723,0.004742028699152856,0.0014324878362024253,0.0029884660031119564,2.4698066141421126e-05
