Year,Global North,Global South,total,Global_South_pct
1995,999.0,1027.0,2026.0,0.5069101678183613
1996,778.0,855.0,1633.0,0.5235762400489896
1997,3918.0,1472.0,5390.0,0.2730983302411874
1998,1368.0,2657.0,4025.0,0.6601242236024845
1999,1954.0,1590.0,3544.0,0.4486455981941309
2000,3180.0,2825.0,6005.0,0.4704412989175687
2001,3766.0,3171.0,6937.0,0.4571140262361251
2002,1110.0,1822.0,2932.0,0.621418826739427
2003,2710.0,1933.0,4643.0,0.41632565151841483
2004,1891.0,3470.0,5361.0,0.6472673008767021
2005,4844.0,3815.0,8659.0,0.44058205335489087
2006,1784.0,3487.0,5271.0,0.6615442989944982
2007,3644.0,5593.0,9237.0,0.6054996210890982
2008,4455.0,3976.0,8431.0,0.4715929308504329
2009,10518.0,13548.0,24066.0,0.56295188232361
2010,3431.0,7149.0,10580.0,0.6757088846880908
2011,3160.0,8066.0,11226.0,0.7185106003919473
2012,2497.0,5817.0,8314.0,0.6996632186673082
2013,3038.0,4675.0,7713.0,0.6061195384415922
2014,2454.0,5960.0,8414.0,0.708343237461374
2015,6534.0,13735.0,20269.0,0.67763579851004
2016,3743.0,11581.0,15324.0,0.7557426259462281
2017,3929.0,8317.0,12246.0,0.679160542217867
2018,4503.0,7302.0,11805.0,0.6185514612452351
2019,4364.0,10196.0,14560.0,0.7002747252747252
2021,7445.0,13302.0,20747.0,0.6411529377741361
2022,6286.0,17926.0,24212.0,0.740376672724269
2023,16065.0,47667.0,63732.0,0.7479288269629072
2024,10246.0,30244.0,40490.0,0.7469498641639911
